gm (L=4.5e-08) X,gm (L=4.5e-08) YRe,gm (L=4.5e-08) YReImag,gm (L=9e-08) X,gm (L=9e-08) YRe,gm (L=9e-08) YReImag,gm (L=1.35e-07) X,gm (L=1.35e-07) YRe,gm (L=1.35e-07) YReImag,gm (L=1e-06) X,gm (L=1e-06) YRe,gm (L=1e-06) YReImag
2.282240162673042e-09,6.33619070154339e-08,-1.109300421676382e-10,2.282240162673042e-09,6.840398322554556e-08,-1.108540795885913e-10,2.282240162673042e-09,6.912658620408911e-08,-1.108439535920316e-10,2.282240162673042e-09,6.448117080323776e-08,-1.14539181232824e-10
2.307488233018344e-09,6.403810316912423e-08,-1.109336165318659e-10,2.307488233018344e-09,6.913012367714055e-08,-1.10857593658303e-10,2.307488233018344e-09,6.985838315894653e-08,-1.108478071190599e-10,2.307488233018344e-09,6.513863174257835e-08,-1.145589848010595e-10
2.333015618865399e-09,6.472137987273964e-08,-1.109371962045857e-10,2.333015618865399e-09,6.986380877302403e-08,-1.108611140739815e-10,2.333015618865399e-09,7.059775576113483e-08,-1.108516688159698e-10,2.333015618865399e-09,6.580260162792123e-08,-1.145788495686604e-10
2.358825410238455e-09,6.541180915456903e-08,-1.109407812035724e-10,2.358825410238455e-09,7.060511442114649e-08,-1.10864640859586e-10,2.358825410238455e-09,7.134477989771518e-08,-1.108555387126982e-10,2.358825410238455e-09,6.647314297252815e-08,-1.145987757081825e-10
2.384920731346217e-09,6.61094637426117e-08,-1.109443715466947e-10,2.384920731346217e-09,7.135411725612106e-08,-1.108681740391935e-10,2.384920731346217e-09,7.209953217948898e-08,-1.108594168393122e-10,2.384920731346217e-09,6.715031887805488e-08,-1.14618763392721e-10
2.41130474096003e-09,6.681441707087047e-08,-1.109479672519154e-10,2.41130474096003e-09,7.211089464565034e-08,-1.108717136369999e-10,2.41130474096003e-09,7.286208994742953e-08,-1.108633032260095e-10,2.41130474096003e-09,6.783419304006987e-08,-1.146388127959097e-10
2.437980632796239e-09,6.752674328570333e-08,-1.109515683372917e-10,2.437980632796239e-09,7.287552469703035e-08,-1.108752596773204e-10,2.437980632796239e-09,7.363253127917682e-08,-1.108671979031196e-10,2.437980632796239e-09,6.852482975368413e-08,-1.146589240919264e-10
2.464951635902777e-09,6.824651725223294e-08,-1.109551748209764e-10,2.464951635902777e-09,7.364808626368905e-08,-1.108788121845903e-10,2.464951635902777e-09,7.441093499556174e-08,-1.10871100901104e-10,2.464951635902777e-09,6.922229391921351e-08,-1.146790974554893e-10
2.492221015050038e-09,6.89738145607801e-08,-1.109587867212183e-10,2.492221015050038e-09,7.442865895178279e-08,-1.108823711833656e-10,2.492221015050038e-09,7.519738066719555e-08,-1.108750122505575e-10,2.492221015050038e-09,6.992665104788815e-08,-1.146993330618677e-10
2.519792071126066e-09,6.97087115333867e-08,-1.109624040563626e-10,2.519792071126066e-09,7.521732312683322e-08,-1.108859366983241e-10,2.519792071126066e-09,7.599194862111904e-08,-1.108789319822081e-10,2.519792071126066e-09,7.063796726767239e-08,-1.147196310868746e-10
2.547668141536118e-09,7.045128523035951e-08,-1.109660268448516e-10,2.547668141536118e-09,7.601415992043974e-08,-1.108895087542655e-10,2.547668141536118e-09,7.679471994749789e-08,-1.10882860126919e-10,2.547668141536118e-09,7.135630932904275e-08,-1.147399917068745e-10
2.575852600606652e-09,7.12016134568607e-08,-1.109696551052256e-10,2.575852600606652e-09,7.681925123701753e-08,-1.108930873761126e-10,2.575852600606652e-09,7.760577650636246e-08,-1.108867967156882e-10,2.575852600606652e-09,7.208174461087183e-08,-1.147604150987864e-10
2.604348859993776e-09,7.19597747695986e-08,-1.109732888561233e-10,2.604348859993776e-09,7.763267976060951e-08,-1.10896672588912e-10,2.604348859993776e-09,7.842520093443087e-08,-1.108907417796499e-10,2.604348859993776e-09,7.281434112642542e-08,-1.147809014400788e-10
2.633160369096224e-09,7.272584848349996e-08,-1.109769281162822e-10,2.633160369096224e-09,7.8454528961747e-08,-1.109002644178343e-10,2.633160369096224e-09,7.925307665194887e-08,-1.10894695350075e-10,2.633160369096224e-09,7.355416752926017e-08,-1.148014509087806e-10
2.662290615472895e-09,7.349991467848816e-08,-1.109805729045397e-10,2.662290615472895e-09,7.928488310434562e-08,-1.109038628881755e-10,2.662290615472895e-09,8.00894878696333e-08,-1.108986574583719e-10,2.662290615472895e-09,7.430129311929877e-08,-1.148220636834742e-10
2.691743125265014e-09,7.428205420629573e-08,-1.109842232398334e-10,2.691743125265014e-09,8.012382725269525e-08,-1.109074680253575e-10,2.691743125265014e-09,8.093451959561764e-08,-1.109026281360871e-10,2.691743125265014e-09,7.505578784902898e-08,-1.148427399433087e-10
2.72152146362296e-09,7.507234869732716e-08,-1.109878791412019e-10,2.72152146362296e-09,8.097144727846146e-08,-1.109110798549283e-10,2.72152146362296e-09,8.178825764251229e-08,-1.109066074149066e-10,2.72152146362296e-09,7.581772232950568e-08,-1.148634798679892e-10
2.751629235137821e-09,7.587088056758626e-08,-1.109915406277853e-10,2.751629235137821e-09,8.182782986776402e-08,-1.109146984025638e-10,2.751629235137821e-09,8.265078863445527e-08,-1.109105953266557e-10,2.751629235137821e-09,7.658716783667849e-08,-1.148842836377896e-10
2.782070084277719e-09,7.667773302562222e-08,-1.109952077188261e-10,2.782070084277719e-09,8.269306252831016e-08,-1.109183236940676e-10,2.782070084277719e-09,8.352220001429259e-08,-1.109145919033006e-10,2.782070084277719e-09,7.736419631761323e-08,-1.149051514335498e-10
